Producto;Precio;Año;Mes;Origen
Aceite de oliva Virgen Extra;3.7007647058823534;2017;7;Infaoliva
Aceite de oliva Lampante;3.6241538461538463;2017;8;Infaoliva
Aceite de oliva Virgen;3.6837692307692302;2017;8;Infaoliva
Aceite de oliva Virgen Extra;3.734384615384615;2017;8;Infaoliva
Aceite de oliva Lampante;3.551842105263158;2017;9;Infaoliva
Aceite de oliva Virgen;3.6055263157894735;2017;9;Infaoliva
Aceite de oliva Virgen Extra;3.6705789473684214;2017;9;Infaoliva
Aceite de oliva Lampante;3.5509411764705887;2017;10;Infaoliva
Aceite de oliva Virgen;3.610117647058824;2017;10;Infaoliva
Aceite de oliva Virgen Extra;3.663058823529412;2017;10;Infaoliva
Aceite de oliva Lampante;3.3867368421052637;2017;11;Infaoliva
Aceite de oliva Virgen;3.447105263157895;2017;11;Infaoliva
Aceite de oliva Virgen Extra;3.497210526315789;2017;11;Infaoliva
Aceite de oliva Lampante;3.3638823529411765;2017;12;Infaoliva
Aceite de oliva Virgen;3.4194705882352947;2017;12;Infaoliva
Aceite de oliva Virgen Extra;3.466058823529412;2017;12;Infaoliva
Aceite de oliva Lampante;3.4061578947368427;2018;1;Infaoliva
Aceite de oliva Virgen;3.4582631578947365;2018;1;Infaoliva
Aceite de oliva Virgen Extra;3.5102631578947374;2018;1;Infaoliva
Aceite de oliva Lampante;3.256;2018;2;Infaoliva
Aceite de oliva Virgen;3.3143076923076924;2018;2;Infaoliva
Aceite de oliva Virgen Extra;3.409692307692308;2018;2;Infaoliva
Aceite de oliva Lampante;2.705538461538462;2018;3;Infaoliva
Aceite de oliva Virgen;2.795769230769231;2018;3;Infaoliva
Aceite de oliva Virgen Extra;3.0198461538461534;2018;3;Infaoliva
Aceite de oliva Lampante;2.621466666666667;2018;4;Infaoliva
Aceite de oliva Virgen;2.7013333333333325;2018;4;Infaoliva
Aceite de oliva Virgen Extra;2.9289333333333327;2018;4;Infaoliva
Aceite de oliva Lampante;2.249705882352941;2018;5;Infaoliva
Aceite de oliva Virgen;2.3025294117647066;2018;5;Infaoliva
Aceite de oliva Virgen Extra;2.642058823529412;2018;5;Infaoliva
Aceite de oliva Lampante;2.335176470588236;2018;6;Infaoliva
Aceite de oliva Virgen;2.3998235294117647;2018;6;Infaoliva
Aceite de oliva Virgen Extra;2.6470588235294112;2018;6;Infaoliva
Aceite de oliva Lampante;2.401684210526316;2018;7;Infaoliva
Aceite de oliva Virgen;2.4554736842105256;2018;7;Infaoliva
Aceite de oliva Virgen Extra;2.627263157894737;2018;7;Infaoliva
Aceite de oliva Lampante;2.398000000000001;2018;8;Infaoliva
Aceite de oliva Virgen;2.4524444444444438;2018;8;Infaoliva
Aceite de oliva Virgen Extra;2.626333333333333;2018;8;Infaoliva
Aceite de oliva Lampante;2.433846153846154;2018;9;Infaoliva
Aceite de oliva Virgen;2.467769230769231;2018;9;Infaoliva
Aceite de oliva Virgen Extra;2.6649230769230767;2018;9;Infaoliva
Aceite de oliva Lampante;2.306769230769231;2018;10;Infaoliva
Aceite de oliva Virgen;2.3500769230769234;2018;10;Infaoliva
Aceite de oliva Virgen Extra;2.5676363636363635;2018;10;Infaoliva
Aceite de oliva Lampante;2.411;2018;11;Infaoliva
Aceite de oliva Virgen;2.461117647058823;2018;11;Infaoliva
Aceite de oliva Virgen Extra;2.650588235294117;2018;11;Infaoliva
Aceite de oliva Lampante;2.31175;2018;12;Infaoliva
Aceite de oliva Virgen;2.38475;2018;12;Infaoliva
Aceite de oliva Virgen Extra;2.6489999999999996;2018;12;Infaoliva
Aceite de oliva Lampante;2.2029230769230765;2019;1;Infaoliva
Aceite de oliva Virgen;2.2553076923076927;2019;1;Infaoliva
Aceite de oliva Virgen Extra;2.5696923076923066;2019;1;Infaoliva
Aceite de oliva Lampante;2.1543076923076923;2019;2;Infaoliva
Aceite de oliva Virgen;2.2123846153846154;2019;2;Infaoliva
Aceite de oliva Virgen Extra;2.558846153846153;2019;2;Infaoliva
Aceite de oliva Lampante;1.953466666666667;2019;3;Infaoliva
Aceite de oliva Virgen;2.0214666666666665;2019;3;Infaoliva
Aceite de oliva Virgen Extra;2.4150666666666667;2019;3;Infaoliva
Aceite de oliva Lampante;1.9286;2019;4;Infaoliva
Aceite de oliva Virgen;1.983933333333333;2019;4;Infaoliva
Aceite de oliva Virgen Extra;2.3406;2019;4;Infaoliva
Aceite de oliva Lampante;1.8371666666666668;2019;5;Infaoliva
Aceite de oliva Virgen;1.8893333333333333;2019;5;Infaoliva
Aceite de oliva Virgen Extra;2.2116666666666664;2019;5;Infaoliva
Aceite de oliva Lampante;1.8840769230769232;2019;6;Infaoliva
Aceite de oliva Virgen;1.9456153846153847;2019;6;Infaoliva
Aceite de oliva Virgen Extra;2.1655384615384614;2019;6;Infaoliva
Aceite de oliva Lampante;2.014538461538462;2019;7;Infaoliva
Aceite de oliva Virgen;2.098230769230769;2019;7;Infaoliva
Aceite de oliva Virgen Extra;2.280076923076923;2019;7;Infaoliva
Aceite de oliva Lampante;2.001;2019;8;Infaoliva
Aceite de oliva Virgen;2.0069999999999997;2019;8;Infaoliva
Aceite de oliva Lampante;1.9654;2019;9;Infaoliva
Aceite de oliva Virgen;2.0108666666666664;2019;9;Infaoliva
Aceite de oliva Virgen Extra;2.138266666666667;2019;9;Infaoliva
Aceite de oliva Lampante;1.8691666666666675;2019;10;Infaoliva
Aceite de oliva Virgen;1.9127777777777772;2019;10;Infaoliva
Aceite de oliva Virgen Extra;2.0261111111111108;2019;10;Infaoliva
Aceite de oliva Lampante;1.8462500000000004;2019;11;Infaoliva
Aceite de oliva Virgen;1.896875;2019;11;Infaoliva
Aceite de oliva Virgen Extra;2.001666666666667;2019;11;Infaoliva
Aceite de oliva Lampante;1.7316666666666662;2019;12;Infaoliva
Aceite de oliva Virgen;1.781;2019;12;Infaoliva
Aceite de oliva Virgen Extra;1.955;2019;12;Infaoliva
ACEITUNA;2,20€;2017;1;MecAlicante
AGUACATE;2,00€;2017;1;MecAlicante
AGUACATE;2,40€;2017;1;MecAlicante
AGUACATE;1,32€;2017;1;MecAlicante
ALMENDRA;3,00€;2017;1;MecAlicante
AVELLANA;3,30€;2017;1;MecAlicante
CAQUI/KAKI;0,55€;2017;1;MecAlicante
CAQUI/KAKI;0,50€;2017;1;MecAlicante
CAQUI/KAKI;1,04€;2017;1;MecAlicante
CASTAÃA;3,00€;2017;1;MecAlicante
CEREZA Y PICOTA;11,72€;2017;1;MecAlicante
CEREZA Y PICOTA;9,00€;2017;1;MecAlicante
CEREZA Y PICOTA;2,75€;2017;1;MecAlicante
CEREZA Y PICOTA;10,51€;2017;1;MecAlicante
CHIRIMOYA;2,00€;2017;1;MecAlicante
CHIRIMOYA;1,40€;2017;1;MecAlicante
CHIRIMOYA;0,88€;2017;1;MecAlicante
CIRUELA;2,45€;2017;1;MecAlicante
CIRUELA;1,20€;2017;1;MecAlicante
CIRUELA;2,20€;2017;1;MecAlicante
CIRUELA;2,55€;2017;1;MecAlicante
CIRUELA;2,75€;2017;1;MecAlicante
CIRUELA;2,18€;2017;1;MecAlicante
COCO;0,65€;2017;1;MecAlicante
DÃTIL;4,15€;2017;1;MecAlicante
DÃTIL;9,75€;2017;1;MecAlicante
DÃTIL;3,93€;2017;1;MecAlicante
FRAMBUESA;9,00€;2017;1;MecAlicante
FRAMBUESA;9,00€;2017;1;MecAlicante
FRESÃN;2,65€;2017;1;MecAlicante
FRESÃN;3,58€;2017;1;MecAlicante
FRESÃN;3,07€;2017;1;MecAlicante
GRANADA;1,20€;2017;1;MecAlicante
GRANADA;1,50€;2017;1;MecAlicante
GROSELLA;15,50€;2017;1;MecAlicante
HIGO Y BREVA;3,00€;2017;1;MecAlicante
HIGO Y BREVA;1,40€;2017;1;MecAlicante
KIWI;4,00€;2017;1;MecAlicante
KIWI;1,40€;2017;1;MecAlicante
KIWI;2,50€;2017;1;MecAlicante
LIMA;1,38€;2017;1;MecAlicante
LIMA;0,40€;2017;1;MecAlicante
LIMA;1,80€;2017;1;MecAlicante
LIMÃN;0,50€;2017;1;MecAlicante
LIMÃN;0,38€;2017;1;MecAlicante
LIMÃN;0,50€;2017;1;MecAlicante
LIMÃN;0,50€;2017;1;MecAlicante
LITCHI O LICHI;3,00€;2017;1;MecAlicante
MANDARINA;0,30€;2017;1;MecAlicante
MANDARINA;0,75€;2017;1;MecAlicante
MANDARINA;0,75€;2017;1;MecAlicante
MANDARINA;0,70€;2017;1;MecAlicante
MANDARINA;0,50€;2017;1;MecAlicante
MANDARINA;0,70€;2017;1;MecAlicante
MANDARINA;1,30€;2017;1;MecAlicante
MANDARINA;0,80€;2017;1;MecAlicante
MANDARINA;0,80€;2017;1;MecAlicante
MANGA;2,00€;2017;1;MecAlicante
MANGA;1,63€;2017;1;MecAlicante
MANGO;2,00€;2017;1;MecAlicante
MANGO;4,50€;2017;1;MecAlicante
MANGO;3,10€;2017;1;MecAlicante
MANZANA;1,00€;2017;1;MecAlicante
MANZANA;0,70€;2017;1;MecAlicante
MANZANA;1,10€;2017;1;MecAlicante
MANZANA;2,00€;2017;1;MecAlicante
MANZANA;1,76€;2017;1;MecAlicante
MANZANA;1,25€;2017;1;MecAlicante
MANZANA;1,00€;2017;1;MecAlicante
MANZANA;0,64€;2017;1;MecAlicante
MELOCOTÃN;1,41€;2017;1;MecAlicante
MELOCOTÃN;3,78€;2017;1;MecAlicante
MELOCOTÃN;1,30€;2017;1;MecAlicante
MELÃN;1,10€;2017;1;MecAlicante
MELÃN;0,75€;2017;1;MecAlicante
MEMBRILLO;0,80€;2017;1;MecAlicante
NARANJA;0,35€;2017;1;MecAlicante
NARANJA;0,40€;2017;1;MecAlicante
NARANJA;0,20€;2017;1;MecAlicante
NARANJA;0,35€;2017;1;MecAlicante
NARANJA;0,40€;2017;1;MecAlicante
NARANJA;0,21€;2017;1;MecAlicante
NARANJA;0,22€;2017;1;MecAlicante
NECTARINA;1,50€;2017;1;MecAlicante
NUEZ;3,90€;2017;1;MecAlicante
PAPAYA;3,38€;2017;1;MecAlicante
PAPAYA;2,00€;2017;1;MecAlicante
PAPAYA;3,50€;2017;1;MecAlicante
PERA;1,00€;2017;1;MecAlicante
PERA;1,00€;2017;1;MecAlicante
PERA;1,25€;2017;1;MecAlicante
PERA;0,93€;2017;1;MecAlicante
PIÃA;1,20€;2017;1;MecAlicante
PIÃA;0,33€;2017;1;MecAlicante
PLÃTANO Y BANANA;0,70€;2017;1;MecAlicante
PLÃTANO Y BANANA;0,65€;2017;1;MecAlicante
PLÃTANO Y BANANA;0,95€;2017;1;MecAlicante
PLÃTANO Y BANANA;0,45€;2017;1;MecAlicante
PLÃTANO Y BANANA;1,28€;2017;1;MecAlicante
PLÃTANO Y BANANA;1,10€;2017;1;MecAlicante
POMELO;0,60€;2017;1;MecAlicante
POMELO;0,70€;2017;1;MecAlicante
POMELO;0,75€;2017;1;MecAlicante
RESTO DE FRUTAS;0,60€;2017;1;MecAlicante
UVA;1,50€;2017;1;MecAlicante
UVA;1,40€;2017;1;MecAlicante
UVA;2,00€;2017;1;MecAlicante
UVA;2,50€;2017;1;MecAlicante
UVA;2,31€;2017;1;MecAlicante
UVA;1,30€;2017;1;MecAlicante
UVA;1,76€;2017;1;MecAlicante
ACEITUNA;1,75€;2017;2;MecAlicante
AGUACATE;2,50€;2017;2;MecAlicante
AGUACATE;2,50€;2017;2;MecAlicante
ALMENDRA;9,00€;2017;2;MecAlicante
AVELLANA;7,50€;2017;2;MecAlicante
CAQUI/KAKI;0,55€;2017;2;MecAlicante
CAQUI/KAKI;1,00€;2017;2;MecAlicante
CAQUI/KAKI;0,80€;2017;2;MecAlicante
CASTAÃA;2,00€;2017;2;MecAlicante
CEREZA Y PICOTA;6,50€;2017;2;MecAlicante
CEREZA Y PICOTA;3,00€;2017;2;MecAlicante
CEREZA Y PICOTA;1,55€;2017;2;MecAlicante
CHIRIMOYA;2,30€;2017;2;MecAlicante
CHIRIMOYA;2,81€;2017;2;MecAlicante
CHIRIMOYA;1,29€;2017;2;MecAlicante
CIRUELA;2,65€;2017;2;MecAlicante
CIRUELA;2,50€;2017;2;MecAlicante
CIRUELA;1,00€;2017;2;MecAlicante
CIRUELA;2,51€;2017;2;MecAlicante
CIRUELA;2,51€;2017;2;MecAlicante
CIRUELA;2,36€;2017;2;MecAlicante
COCO;0,70€;2017;2;MecAlicante
DÃTIL;4,00€;2017;2;MecAlicante
DÃTIL;10,00€;2017;2;MecAlicante
DÃTIL;3,93€;2017;2;MecAlicante
FRAMBUESA;9,00€;2017;2;MecAlicante
FRAMBUESA;9,00€;2017;2;MecAlicante
FRESÃN;2,75€;2017;2;MecAlicante
FRESÃN;3,31€;2017;2;MecAlicante
FRESÃN;2,50€;2017;2;MecAlicante
GRANADA;1,20€;2017;2;MecAlicante
GRANADA;1,62€;2017;2;MecAlicante
GROSELLA;15,50€;2017;2;MecAlicante
HIGO Y BREVA;3,00€;2017;2;MecAlicante
KIWI;4,60€;2017;2;MecAlicante
KIWI;1,20€;2017;2;MecAlicante
KIWI;2,20€;2017;2;MecAlicante
LIMA;3,25€;2017;2;MecAlicante
LIMA;1,00€;2017;2;MecAlicante
LIMA;2,00€;2017;2;MecAlicante
LIMÃN;0,50€;2017;2;MecAlicante
LIMÃN;0,35€;2017;2;MecAlicante
LIMÃN;0,60€;2017;2;MecAlicante
MANDARINA;0,60€;2017;2;MecAlicante
MANDARINA;0,70€;2017;2;MecAlicante
MANDARINA;0,60€;2017;2;MecAlicante
MANDARINA;0,70€;2017;2;MecAlicante
MANDARINA;0,70€;2017;2;MecAlicante
MANDARINA;0,30€;2017;2;MecAlicante
MANDARINA;0,60€;2017;2;MecAlicante
MANDARINA;0,80€;2017;2;MecAlicante
MANGA;2,00€;2017;2;MecAlicante
MANGA;1,67€;2017;2;MecAlicante
MANGO;1,60€;2017;2;MecAlicante
MANGO;1,43€;2017;2;MecAlicante
MANGO;1,65€;2017;2;MecAlicante
MANZANA;1,10€;2017;2;MecAlicante
MANZANA;1,00€;2017;2;MecAlicante
MANZANA;1,35€;2017;2;MecAlicante
MANZANA;2,00€;2017;2;MecAlicante
MANZANA;0,60€;2017;2;MecAlicante
MANZANA;1,25€;2017;2;MecAlicante
MANZANA;1,00€;2017;2;MecAlicante
MANZANA;0,90€;2017;2;MecAlicante
MELOCOTÃN;3,78€;2017;2;MecAlicante
MELOCOTÃN;3,38€;2017;2;MecAlicante
MELÃN;1,10€;2017;2;MecAlicante
MELÃN;0,75€;2017;2;MecAlicante
MEMBRILLO;0,90€;2017;2;MecAlicante
MORA;13,00€;2017;2;MecAlicante
NARANJA;0,40€;2017;2;MecAlicante
NARANJA;0,40€;2017;2;MecAlicante
NARANJA;0,23€;2017;2;MecAlicante
NARANJA;0,40€;2017;2;MecAlicante
NARANJA;0,35€;2017;2;MecAlicante
NARANJA;0,50€;2017;2;MecAlicante
NARANJA;0,30€;2017;2;MecAlicante
NECTARINA;2,25€;2017;2;MecAlicante
NUEZ;3,90€;2017;2;MecAlicante
PAPAYA;3,50€;2017;2;MecAlicante
PAPAYA;2,20€;2017;2;MecAlicante
PAPAYA;3,50€;2017;2;MecAlicante
PERA;1,00€;2017;2;MecAlicante
PERA;1,00€;2017;2;MecAlicante
PERA;1,25€;2017;2;MecAlicante
PERA;1,00€;2017;2;MecAlicante
PIÃA;0,90€;2017;2;MecAlicante
PIÃA;1,30€;2017;2;MecAlicante
PIÃA;1,28€;2017;2;MecAlicante
PLÃTANO Y BANANA;0,85€;2017;2;MecAlicante
