index;Producto;Precio;Año;Mes;Origen
99;Aceite de oliva Lampante;3.7070000000000007;2017;6;Infaoliva
100;Aceite de oliva Virgen;3.775611111111112;2017;6;Infaoliva
101;Aceite de oliva Virgen Extra;3.859111111111111;2017;6;Infaoliva
102;Aceite de oliva Lampante;3.5618823529411765;2017;7;Infaoliva
103;Aceite de oliva Virgen;3.616705882352941;2017;7;Infaoliva
104;Aceite de oliva Virgen Extra;3.700764705882353;2017;7;Infaoliva
105;Aceite de oliva Lampante;3.624153846153846;2017;8;Infaoliva
106;Aceite de oliva Virgen;3.6837692307692302;2017;8;Infaoliva
107;Aceite de oliva Virgen Extra;3.734384615384615;2017;8;Infaoliva
108;Aceite de oliva Lampante;3.551842105263158;2017;9;Infaoliva
109;Aceite de oliva Virgen;3.6055263157894735;2017;9;Infaoliva
110;Aceite de oliva Virgen Extra;3.670578947368421;2017;9;Infaoliva
111;Aceite de oliva Lampante;3.5509411764705887;2017;10;Infaoliva
112;Aceite de oliva Virgen;3.6101176470588237;2017;10;Infaoliva
113;Aceite de oliva Virgen Extra;3.6630588235294117;2017;10;Infaoliva
114;Aceite de oliva Lampante;3.3867368421052633;2017;11;Infaoliva
115;Aceite de oliva Virgen;3.447105263157895;2017;11;Infaoliva
116;Aceite de oliva Virgen Extra;3.4972105263157895;2017;11;Infaoliva
117;Aceite de oliva Lampante;3.3638823529411765;2017;12;Infaoliva
118;Aceite de oliva Virgen;3.419470588235295;2017;12;Infaoliva
119;Aceite de oliva Virgen Extra;3.466058823529412;2017;12;Infaoliva
120;Aceite de oliva Lampante;3.4061578947368427;2018;1;Infaoliva
121;Aceite de oliva Virgen;3.4582631578947365;2018;1;Infaoliva
122;Aceite de oliva Virgen Extra;3.5102631578947374;2018;1;Infaoliva
123;Aceite de oliva Lampante;3.2560000000000002;2018;2;Infaoliva
124;Aceite de oliva Virgen;3.3143076923076924;2018;2;Infaoliva
125;Aceite de oliva Virgen Extra;3.409692307692308;2018;2;Infaoliva
126;Aceite de oliva Lampante;2.705538461538462;2018;3;Infaoliva
127;Aceite de oliva Virgen;2.795769230769231;2018;3;Infaoliva
128;Aceite de oliva Virgen Extra;3.019846153846154;2018;3;Infaoliva
129;Aceite de oliva Lampante;2.621466666666667;2018;4;Infaoliva
130;Aceite de oliva Virgen;2.7013333333333325;2018;4;Infaoliva
131;Aceite de oliva Virgen Extra;2.9289333333333327;2018;4;Infaoliva
132;Aceite de oliva Lampante;2.2497058823529414;2018;5;Infaoliva
133;Aceite de oliva Virgen;2.3025294117647066;2018;5;Infaoliva
134;Aceite de oliva Virgen Extra;2.6420588235294122;2018;5;Infaoliva
135;Aceite de oliva Lampante;2.3351764705882356;2018;6;Infaoliva
136;Aceite de oliva Virgen;2.3998235294117647;2018;6;Infaoliva
137;Aceite de oliva Virgen Extra;2.6470588235294112;2018;6;Infaoliva
138;Aceite de oliva Lampante;2.401684210526316;2018;7;Infaoliva
139;Aceite de oliva Virgen;2.4554736842105256;2018;7;Infaoliva
140;Aceite de oliva Virgen Extra;2.627263157894737;2018;7;Infaoliva
141;Aceite de oliva Lampante;2.3980000000000006;2018;8;Infaoliva
142;Aceite de oliva Virgen;2.452444444444444;2018;8;Infaoliva
143;Aceite de oliva Virgen Extra;2.626333333333333;2018;8;Infaoliva
144;Aceite de oliva Lampante;2.433846153846154;2018;9;Infaoliva
145;Aceite de oliva Virgen;2.467769230769231;2018;9;Infaoliva
146;Aceite de oliva Virgen Extra;2.6649230769230767;2018;9;Infaoliva
147;Aceite de oliva Lampante;2.306769230769231;2018;10;Infaoliva
148;Aceite de oliva Virgen;2.350076923076923;2018;10;Infaoliva
149;Aceite de oliva Virgen Extra;2.5676363636363635;2018;10;Infaoliva
150;Aceite de oliva Lampante;2.4109999999999996;2018;11;Infaoliva
151;Aceite de oliva Virgen;2.461117647058823;2018;11;Infaoliva
152;Aceite de oliva Virgen Extra;2.6505882352941175;2018;11;Infaoliva
153;Aceite de oliva Lampante;2.31175;2018;12;Infaoliva
154;Aceite de oliva Virgen;2.38475;2018;12;Infaoliva
155;Aceite de oliva Virgen Extra;2.649;2018;12;Infaoliva
156;Aceite de oliva Lampante;2.2029230769230765;2019;1;Infaoliva
157;Aceite de oliva Virgen;2.2553076923076927;2019;1;Infaoliva
158;Aceite de oliva Virgen Extra;2.569692307692307;2019;1;Infaoliva
159;Aceite de oliva Lampante;2.1543076923076923;2019;2;Infaoliva
160;Aceite de oliva Virgen;2.2123846153846154;2019;2;Infaoliva
161;Aceite de oliva Virgen Extra;2.5588461538461535;2019;2;Infaoliva
162;Aceite de oliva Lampante;1.9534666666666667;2019;3;Infaoliva
163;Aceite de oliva Virgen;2.0214666666666665;2019;3;Infaoliva
164;Aceite de oliva Virgen Extra;2.415066666666667;2019;3;Infaoliva
165;Aceite de oliva Lampante;1.9285999999999999;2019;4;Infaoliva
166;Aceite de oliva Virgen;1.9839333333333333;2019;4;Infaoliva
167;Aceite de oliva Virgen Extra;2.3406000000000002;2019;4;Infaoliva
168;Aceite de oliva Lampante;1.8371666666666668;2019;5;Infaoliva
169;Aceite de oliva Virgen;1.8893333333333333;2019;5;Infaoliva
